wl,n,k
0.2551,1.54,3.431
0.2546,1.534,3.415
0.2541,1.527,3.399
0.2535,1.522,3.383
0.253,1.516,3.368
0.2525,1.511,3.353
0.252,1.506,3.337
0.2515,1.502,3.323
0.251,1.497,3.308
0.2505,1.493,3.294
0.25,1.489,3.279
0.2495,1.485,3.265
0.249,1.481,3.252
0.2485,1.478,3.238
0.248,1.475,3.225
0.2475,1.472,3.212
0.247,1.47,3.199
0.2465,1.467,3.187
0.246,1.465,3.174
0.2455,1.463,3.162
0.245,1.461,3.151
0.2445,1.459,3.139
0.2441,1.457,3.127
0.2436,1.456,3.116
0.2431,1.455,3.106
0.2426,1.454,3.095
0.2422,1.453,3.085
0.2417,1.452,3.075
0.2412,1.451,3.065
0.2407,1.451,3.055
0.2403,1.45,3.046
0.2398,1.45,3.037
0.2394,1.45,3.028
0.2389,1.45,3.02
0.2384,1.45,3.012
0.238,1.45,3.004
0.2375,1.45,2.996
0.2371,1.45,2.989
0.2366,1.451,2.982
0.2362,1.451,2.975
0.2357,1.452,2.968
0.2353,1.452,2.962
0.2348,1.453,2.956
0.2344,1.453,2.95
0.2339,1.454,2.945
0.2335,1.455,2.94
0.2331,1.455,2.935
0.2326,1.456,2.931
0.2322,1.456,2.927
0.2317,1.457,2.923
0.2313,1.457,2.919
0.2309,1.458,2.915
0.2305,1.459,2.912
0.23,1.459,2.909
0.2296,1.459,2.907
0.2292,1.46,2.905
0.2288,1.46,2.903
0.2283,1.46,2.901
0.2279,1.46,2.9
0.2275,1.46,2.899
0.2271,1.459,2.898
0.2267,1.459,2.898
0.2262,1.458,2.898
0.2258,1.457,2.898
0.2254,1.456,2.898
0.225,1.455,2.899
0.2246,1.453,2.899
0.2242,1.451,2.901
0.2238,1.449,2.902
0.2234,1.446,2.903
0.223,1.444,2.905
0.2226,1.44,2.907
0.2222,1.437,2.908
0.2218,1.433,2.91
0.2214,1.429,2.913
0.221,1.425,2.915
0.2206,1.42,2.917
0.2202,1.414,2.919
0.2198,1.408,2.922
0.2194,1.402,2.924
0.2191,1.396,2.926
0.2187,1.389,2.928
0.2183,1.382,2.93
0.2179,1.375,2.931
0.2175,1.366,2.933
0.2171,1.358,2.934
0.2168,1.35,2.936
0.2164,1.341,2.937
0.216,1.332,2.937
0.2156,1.322,2.937
0.2153,1.312,2.938
0.2149,1.303,2.937
0.2145,1.293,2.936
0.2141,1.283,2.936
0.2138,1.272,2.934
0.2134,1.262,2.932
0.213,1.251,2.93
0.2127,1.241,2.927
0.2123,1.231,2.924
0.2119,1.22,2.921
0.2116,1.21,2.917
0.2112,1.2,2.913
0.2109,1.19,2.908
0.2105,1.18,2.904
0.2101,1.17,2.899
0.2098,1.161,2.893
0.2094,1.152,2.888
