wl,n,k
3.3131,4.0328,14.104
3.3002,4.0406,14.057
3.2873,4.0484,14.01
3.2744,4.0561,13.964
3.2617,4.0637,13.918
3.2489,4.0712,13.872
3.2362,4.0786,13.827
3.2236,4.0859,13.782
3.211,4.0931,13.738
3.1984,4.1002,13.694
3.1859,4.1072,13.65
3.1735,4.1141,13.607
3.1611,4.1209,13.564
3.1487,4.1275,13.521
3.1364,4.134,13.478
3.1241,4.1404,13.436
3.1119,4.1467,13.395
3.0998,4.1528,13.353
3.0877,4.1589,13.312
3.0756,4.1647,13.272
3.0636,4.1704,13.231
3.0516,4.176,13.191
3.0397,4.1815,13.152
3.0278,4.1868,13.112
3.016,4.1919,13.073
3.0042,4.1969,13.035
2.9924,4.2017,12.996
2.9807,4.2064,12.958
2.9691,4.2109,12.92
2.9575,4.2152,12.883
2.9459,4.2194,12.846
2.9344,4.2234,12.809
2.9229,4.2273,12.772
2.9115,4.2309,12.736
2.9001,4.2344,12.7
2.8888,4.2377,12.664
2.8775,4.2409,12.629
2.8663,4.2438,12.593
2.8551,4.2466,12.558
2.8439,4.2492,12.524
2.8328,4.2516,12.489
2.8217,4.2538,12.455
2.8107,4.2558,12.421
2.7997,4.2576,12.388
2.7888,4.2593,12.354
2.7779,4.2607,12.321
2.767,4.2619,12.288
2.7562,4.263,12.255
2.7454,4.2639,12.223
2.7347,4.2645,12.19
2.724,4.265,12.158
2.7134,4.2653,12.126
2.7027,4.2653,12.094
2.6922,4.2652,12.063
2.6817,4.2649,12.032
2.6712,4.2644,12.0
2.6607,4.2636,11.969
2.6503,4.2627,11.939
2.64,4.2616,11.908
2.6297,4.2603,11.878
2.6194,4.2588,11.847
2.6092,4.2571,11.817
2.599,4.2551,11.787
2.5888,4.253,11.757
2.5787,4.2507,11.728
2.5686,4.2483,11.698
2.5586,4.2456,11.669
2.5486,4.2427,11.64
2.5386,4.2396,11.61
2.5287,4.2364,11.581
2.5188,4.233,11.552
2.509,4.2293,11.524
2.4991,4.2255,11.495
2.4894,4.2215,11.466
2.4797,4.2174,11.438
2.47,4.213,11.41
2.4603,4.2085,11.381
2.4507,4.2038,11.353
2.4411,4.1989,11.325
2.4316,4.1939,11.297
2.4221,4.1887,11.269
2.4126,4.1833,11.241
2.4032,4.1777,11.213
2.3938,4.172,11.186
2.3844,4.1662,11.158
2.3751,4.1602,11.13
2.3658,4.154,11.103
2.3566,4.1477,11.075
2.3474,4.1412,11.048
2.3382,4.1346,11.02
2.3291,4.1279,10.993
2.32,4.121,10.966
2.3109,4.114,10.938
2.3019,4.1068,10.911
2.2929,4.0995,10.884
2.2839,4.0921,10.857
2.275,4.0846,10.83
2.2661,4.0769,10.802
2.2572,4.0691,10.775
2.2484,4.0612,10.748
2.2396,4.0532,10.721
2.2309,4.0451,10.694
2.2221,4.0369,10.667
2.2135,4.0286,10.64
2.2048,4.0202,10.613
2.1962,4.0117,10.586
2.1876,4.0031,10.559
2.1791,3.9944,10.532
2.1705,3.9856,10.505
2.1621,3.9767,10.479
2.1536,3.9678,10.452
2.1452,3.9588,10.425
2.1368,3.9497,10.398
2.1285,3.9405,10.371
2.1201,3.9313,10.344
2.1119,3.922,10.317
2.1036,3.9126,10.29
2.0954,3.9032,10.263
2.0872,3.8937,10.236
2.079,3.8842,10.21
2.0709,3.8747,10.183
2.0628,3.865,10.156
2.0547,3.8554,10.129
2.0467,3.8457,10.102
2.0387,3.8359,10.075
2.0307,3.8261,10.048
2.0228,3.8163,10.021
2.0149,3.8065,9.9944
2.007,3.7966,9.9675
1.9992,3.7867,9.9406
1.9914,3.7768,9.9137
1.9836,3.7669,9.8868
1.9758,3.7569,9.8599
1.9681,3.7469,9.833
1.9604,3.7369,9.8061
1.9528,3.7269,9.7792
1.9451,3.7169,9.7523
1.9375,3.7069,9.7254
1.93,3.6969,9.6986
1.9224,3.6869,9.6717
1.9149,3.6768,9.6448
1.9074,3.6668,9.618
1.9,3.6568,9.5911
1.8925,3.6468,9.5643
1.8851,3.6368,9.5375
1.8778,3.6268,9.5106
1.8704,3.6168,9.4838
1.8631,3.6068,9.457
1.8558,3.5969,9.4302
1.8486,3.5869,9.4035
1.8414,3.577,9.3767
1.8342,3.5671,9.35
1.827,3.5572,9.3232
1.8199,3.5473,9.2965
1.8127,3.5375,9.2698
1.8057,3.5277,9.2431
1.7986,3.5179,9.2165
1.7916,3.5081,9.1899
1.7846,3.4983,9.1633
1.7776,3.4886,9.1367
1.7707,3.4789,9.1101
1.7637,3.4693,9.0836
1.7568,3.4597,9.0571
1.75,3.4501,9.0306
1.7431,3.4405,9.0041
1.7363,3.431,8.9777
1.7295,3.4215,8.9513
1.7228,3.412,8.925
1.716,3.4026,8.8986
1.7093,3.3932,8.8723
1.7027,3.3839,8.8461
1.696,3.3746,8.8199
1.6894,3.3653,8.7937
1.6828,3.3561,8.7675
1.6762,3.3469,8.7414
1.6696,3.3378,8.7154
1.6631,3.3287,8.6894
1.6566,3.3196,8.6634
1.6501,3.3106,8.6374
1.6437,3.3016,8.6115
1.6373,3.2927,8.5857
1.6309,3.2838,8.5599
1.6245,3.2749,8.5341
1.6181,3.2661,8.5084
1.6118,3.2573,8.4828
1.6055,3.2486,8.4572
1.5992,3.2399,8.4316
1.593,3.2313,8.4061
1.5868,3.2227,8.3806
1.5806,3.2141,8.3552
1.5744,3.2056,8.3299
1.5682,3.1972,8.3046
1.5621,3.1888,8.2794
1.556,3.1804,8.2542
1.5499,3.172,8.2291
1.5439,3.1638,8.204
1.5378,3.1555,8.179
1.5318,3.1473,8.154
1.5258,3.1392,8.1292
1.5199,3.131,8.1043
1.5139,3.123,8.0796
1.508,3.1149,8.0549
1.5021,3.107,8.0302
1.4962,3.099,8.0056
1.4904,3.0911,7.9811
1.4846,3.0832,7.9567
1.4788,3.0754,7.9323
1.473,3.0677,7.908
1.4672,3.0599,7.8837
1.4615,3.0522,7.8595
1.4558,3.0446,7.8354
1.4501,3.037,7.8114
1.4444,3.0294,7.7874
1.4388,3.0219,7.7635
1.4332,3.0144,7.7396
1.4276,3.0069,7.7158
1.422,2.9995,7.6921
1.4164,2.9921,7.6685
1.4109,2.9848,7.6449
1.4054,2.9775,7.6214
1.3999,2.9702,7.598
1.3944,2.963,7.5746
1.389,2.9558,7.5514
1.3835,2.9486,7.5281
1.3781,2.9415,7.505
1.3727,2.9344,7.4819
1.3674,2.9274,7.459
1.362,2.9204,7.436
1.3567,2.9134,7.4132
1.3514,2.9065,7.3904
1.3461,2.8995,7.3677
1.3409,2.8927,7.3451
1.3356,2.8858,7.3225
1.3304,2.879,7.3001
1.3252,2.8722,7.2777
1.32,2.8655,7.2553
1.3149,2.8588,7.2331
1.3097,2.8521,7.2109
1.3046,2.8454,7.1888
1.2995,2.8388,7.1668
1.2944,2.8322,7.1448
1.2894,2.8256,7.1229
1.2843,2.8191,7.1011
1.2793,2.8126,7.0794
1.2743,2.8061,7.0578
1.2693,2.7996,7.0362
1.2644,2.7932,7.0147
1.2594,2.7868,6.9933
1.2545,2.7804,6.9719
1.2496,2.7741,6.9506
1.2447,2.7677,6.9294
1.2399,2.7614,6.9083
1.235,2.7551,6.8873
1.2302,2.7489,6.8663
1.2254,2.7427,6.8454
1.2206,2.7365,6.8246
1.2158,2.7303,6.8038
1.2111,2.7241,6.7832
1.2063,2.718,6.7626
1.2016,2.7118,6.742
1.1969,2.7057,6.7216
1.1922,2.6997,6.7012
1.1876,2.6936,6.6809
1.1829,2.6876,6.6607
1.1783,2.6816,6.6405
1.1737,2.6756,6.6205
1.1691,2.6696,6.6005
1.1646,2.6636,6.5805
1.16,2.6577,6.5607
1.1555,2.6517,6.5409
1.151,2.6458,6.5212
1.1465,2.6399,6.5015
1.142,2.6341,6.482
1.1375,2.6282,6.4625
1.1331,2.6224,6.4431
1.1286,2.6165,6.4237
1.1242,2.6107,6.4044
1.1198,2.6049,6.3852
1.1155,2.5992,6.3661
1.1111,2.5934,6.347
1.1068,2.5876,6.328
1.1024,2.5819,6.3091
1.0981,2.5762,6.2903
1.0938,2.5705,6.2715
1.0896,2.5648,6.2528
1.0853,2.5591,6.2341
1.0811,2.5534,6.2156
1.0768,2.5477,6.1971
1.0726,2.5421,6.1786
1.0684,2.5365,6.1603
1.0643,2.5308,6.142
1.0601,2.5252,6.1237
1.056,2.5196,6.1056
1.0518,2.514,6.0875
1.0477,2.5084,6.0694
1.0436,2.5028,6.0515
1.0395,2.4973,6.0336
1.0355,2.4917,6.0158
1.0314,2.4862,5.998
1.0274,2.4806,5.9803
1.0234,2.4751,5.9627
1.0194,2.4696,5.9451
1.0154,2.4641,5.9276
1.0114,2.4586,5.9102
1.0075,2.4531,5.8928
1.0035,2.4476,5.8755
0.99962,2.4421,5.8583
0.99571,2.4366,5.8411
0.99182,2.4311,5.824
0.98795,2.4257,5.8069
0.98408,2.4202,5.7899
0.98024,2.4148,5.773
0.97641,2.4093,5.7561
0.97259,2.4039,5.7393
0.96879,2.3984,5.7226
0.965,2.393,5.7059
0.96123,2.3876,5.6892
0.95748,2.3822,5.6727
