wl,n,k
1.5915,3.4788,6.8803
1.5864,3.4743,6.8648
1.5813,3.4698,6.8493
1.5762,3.4653,6.8338
1.5712,3.4607,6.8184
1.5661,3.4562,6.803
1.5611,3.4517,6.7877
1.556,3.4472,6.7724
1.551,3.4427,6.7572
1.546,3.4381,6.742
1.5411,3.4336,6.7268
1.5361,3.429,6.7117
1.5312,3.4245,6.6966
1.5262,3.4199,6.6815
1.5213,3.4154,6.6665
1.5164,3.4108,6.6516
1.5116,3.4063,6.6367
1.5067,3.4017,6.6218
1.5019,3.3971,6.607
1.497,3.3925,6.5922
1.4922,3.388,6.5774
1.4874,3.3834,6.5627
1.4826,3.3788,6.548
1.4778,3.3742,6.5334
1.4731,3.3696,6.5188
1.4684,3.365,6.5042
1.4636,3.3604,6.4897
1.4589,3.3558,6.4753
1.4542,3.3512,6.4608
1.4496,3.3466,6.4464
1.4449,3.342,6.4321
1.4402,3.3374,6.4178
1.4356,3.3328,6.4035
1.431,3.3282,6.3893
1.4264,3.3236,6.3751
1.4218,3.319,6.3609
1.4172,3.3144,6.3468
1.4127,3.3097,6.3327
1.4081,3.3051,6.3187
1.4036,3.3005,6.3047
1.3991,3.2959,6.2907
1.3946,3.2913,6.2768
1.3901,3.2866,6.2629
1.3856,3.282,6.2491
1.3812,3.2774,6.2353
1.3767,3.2727,6.2215
1.3723,3.2681,6.2078
1.3679,3.2635,6.1941
1.3635,3.2588,6.1804
1.3591,3.2542,6.1668
1.3547,3.2496,6.1533
1.3504,3.2449,6.1397
1.346,3.2403,6.1262
1.3417,3.2356,6.1128
1.3374,3.231,6.0994
1.3331,3.2264,6.086
1.3288,3.2217,6.0726
1.3245,3.2171,6.0593
1.3202,3.2124,6.0461
1.316,3.2078,6.0328
1.3118,3.2031,6.0196
1.3075,3.1985,6.0065
1.3033,3.1938,5.9934
1.2991,3.1892,5.9803
1.295,3.1845,5.9673
1.2908,3.1798,5.9543
1.2866,3.1752,5.9413
1.2825,3.1705,5.9284
1.2784,3.1659,5.9155
1.2743,3.1612,5.9027
1.2702,3.1565,5.8898
1.2661,3.1519,5.8771
1.262,3.1472,5.8643
1.2579,3.1425,5.8516
1.2539,3.1379,5.839
1.2499,3.1332,5.8264
1.2458,3.1285,5.8138
1.2418,3.1238,5.8012
1.2378,3.1192,5.7887
1.2339,3.1145,5.7762
1.2299,3.1098,5.7638
1.2259,3.1051,5.7514
1.222,3.1004,5.739
1.2181,3.0958,5.7267
1.2141,3.0911,5.7144
1.2102,3.0864,5.7022
1.2063,3.0817,5.69
1.2025,3.077,5.6778
1.1986,3.0723,5.6656
1.1947,3.0676,5.6535
1.1909,3.0629,5.6415
1.1871,3.0582,5.6294
1.1832,3.0534,5.6174
1.1794,3.0487,5.6055
1.1756,3.044,5.5935
1.1719,3.0393,5.5816
1.1681,3.0346,5.5698
1.1643,3.0298,5.558
1.1606,3.0251,5.5462
1.1569,3.0204,5.5344
1.1531,3.0156,5.5227
1.1494,3.0109,5.5111
1.1457,3.0061,5.4994
1.142,3.0014,5.4878
1.1384,2.9966,5.4762
1.1347,2.9918,5.4647
1.1311,2.9871,5.4532
1.1274,2.9823,5.4417
1.1238,2.9775,5.4303
1.1202,2.9727,5.4189
1.1166,2.968,5.4075
1.113,2.9632,5.3962
1.1094,2.9584,5.3849
1.1058,2.9536,5.3736
1.1023,2.9487,5.3624
1.0987,2.9439,5.3512
1.0952,2.9391,5.34
1.0917,2.9343,5.3289
1.0882,2.9294,5.3178
1.0847,2.9246,5.3067
1.0812,2.9198,5.2957
1.0777,2.9149,5.2847
1.0742,2.91,5.2737
1.0708,2.9052,5.2628
1.0673,2.9003,5.2519
1.0639,2.8954,5.241
1.0605,2.8905,5.2302
1.0571,2.8856,5.2194
1.0537,2.8807,5.2086
1.0503,2.8758,5.1978
1.0469,2.8709,5.1871
1.0435,2.8659,5.1764
1.0402,2.861,5.1658
1.0368,2.8561,5.1551
1.0335,2.8511,5.1445
1.0302,2.8461,5.134
1.0268,2.8412,5.1234
1.0235,2.8362,5.1129
1.0202,2.8312,5.1024
1.017,2.8262,5.092
1.0137,2.8212,5.0815
1.0104,2.8162,5.0711
1.0072,2.8111,5.0607
1.0039,2.8061,5.0504
1.0007,2.8011,5.0401
0.9975,2.796,5.0298
0.99429,2.7909,5.0195
0.99109,2.7859,5.0093
0.9879,2.7808,4.9991
0.98472,2.7757,4.9889
0.98155,2.7706,4.9787
0.9784,2.7655,4.9686
0.97525,2.7603,4.9584
0.97211,2.7552,4.9483
0.96898,2.75,4.9383
0.96587,2.7449,4.9282
0.96276,2.7397,4.9182
0.95966,2.7345,4.9082
0.95658,2.7293,4.8982
0.9535,2.7241,4.8883
0.95043,2.7189,4.8783
0.94737,2.7137,4.8684
0.94433,2.7085,4.8585
0.94129,2.7032,4.8487
0.93826,2.698,4.8388
0.93524,2.6927,4.829
